filename,thread_date,domain,status,priority,key_facts,canonical_file,action_required,last_verified,notes
BE-20260224-FINANCIAL-incharge-dmp-debt-surplus-income.md,,,,,,,,,
BE-20260225-MIXED-peaslee-followup.md,2026-02-25,SKILLS-EDUCATION,ACTIVE,2,,BRAYDEN-IDENTITY.md,,,Waitlist Order
BE-20260226-MIXED-caregiving-wav-spaces-rules.md,,,,,,,,,
BE-20260226-MIXED-hub-v4-cashflow-localstorage.md,2026-02-26,AI-WORKFLOW-RULES,SUPERSEDED,3,,FINANCIAL-SNAPSHOT.md,,,Predates CtrlYou pivot; hub concept evolved into v10/v11 the next day
BE-20260226-PROJECT-kray-studios-hub-v10v11-build.md,,,,,,,,,
BE-20260227-PROJECT-kray-studios-brand-shopify-income-architecture.md,2026-02-27,ONLINE-BUSINESS,SUPERSEDED,3,,FINANCIAL-SNAPSHOT.md,,,Kray Studios survives only as parent company name; CtrlYou is the active consumer brand
BE-20260228-SKILL-shopify-free-sales-playbook.md,2026-02-28,SKILLS-EDUCATION,ACTIVE,2,,ACTIVE-PROJECTS.md,,,Principles apply to CtrlYou or any future store; no store-specific action taken since Feb 28
BE-20260301-PROJECT-kray-studios-pastel-grunge-manifesto.md,2026-03-01,AI-WORKFLOW-RULES,SUPERSEDED,3,,BRAINOS-SYSTEM.md,,,NXE palette status post-pivot UNCONFIRMED; Space files flagged as stale by Brayden in this thread
BE-20260302-PROJECT-kray-studios-page-brand-clip-marketing.md,2026-03-02,ONLINE-BUSINESS,SUPERSEDED,3,,BRAINOS-SYSTEM.md,,,
BE-20260306-PROJECT-ctrlplusyou-email-dns-setup.md,2026-03-06,ONLINE-BUSINESS,ACTIVE,2,,ACTIVE-PROJECTS.md,,,Google Workspace declined at $22.44/mo — Zoho free tier is canonical email solution
BE-20260306-PROJECT-ctrlplusyou-founding-session.md,,,,,,,,,
BE-20260307-PROJECT-wall-decal-peel-stick-sourcing.md,,,,,,,,,
BE-20260307-SOURCE-dropshipping-video-resource-harvest.md,2026-03-07,SKILLS-EDUCATION,ACTIVE,2,,BRAINOS-SYSTEM.md,,,Product Validator ChatGPT Prompt (Notion page) and Branded AI Image Guide extracted as free tools
BE-20260310-TOOL-p1s-maintenance-kit-rules.md,,,,,,,,,
BE-20260311-PROJECT-comic-holder-wall-mount-system.md,2026-03-11,MAKER,ACTIVE,2,,BRAINOS-SYSTEM.md,,,Garage shelf 3 confirmed as physical home for comic boxes (BE-20260412)
BE-20260314-MIXED-ctrlplusyou-launch-identity-foundation.md,,,,,,,,,
BE-20260314-PROJECT-homestead-store-brand-suppliers.md,2026-03-14,ONLINE-BUSINESS,SUPERSEDED,3,,ACTIVE-PROJECTS.md,,,Higher AOV and longer trust cycle than CtrlYou room decor — different audience
BE-20260314-TOOL-image-to-video-ai-stack.md,2026-03-14,AI-WORKFLOW-RULES,ACTIVE,2,,BRAINOS-SYSTEM.md,,,No tools confirmed adopted after this session; integration with n8n pipeline not yet built
BE-20260317-PROJECT-aicenturyclips-automation-blueprint.md,2026-03-17,AI-WORKFLOW-RULES,draft,3,,KRAY-STUDIOS-CONTENT / AI-WORKFLOW-RULES,,,n8n deprioritized April 2026 — no workflows until daily note habit established; artifact AIChannelAutomationBlueprint.md generated
BE-20260318-MIXED-ctrlplusyou-pivot-brand-docs.md,2026-03-18,ONLINE-BUSINESS,SUPERSEDED,3,,ACTIVE-PROJECTS.md,,,Full asset library in storage — all 9 docs paste-ready in thread if resuming
BE-20260319-TOOL-openclaw-hostinger-vps-setup.md,2026-03-19,BRAINOS-SYSTEM,SUPERSEDED,3,,BRAINOS-SYSTEM.md,,,Hostinger VPS is a real owned asset — confirm it's not sitting idle
BE-20260325-MIXED-honda-crv-repair-maintenance.md,2026-03-25,VEHICLE-MAINTENANCE,ACTIVE,2,,FINANCIAL-SNAPSHOT.md,,,FIMC = GoodLife reimbursement for vehicle use in client transport — track receipts carefully
BE-20260327-PROJECT-goodlife-union-founding-research.md,2026-03-27,GOODLIFE-UNION,ACTIVE,2,,GOODLIFE-UNION.md,,,iLink = GoodLife proprietary care management tech; Kansas AFL-CIO and SEIU Healthcare flagged as contacts
BE-20260328-PROJECT-lived-experience-log-lex-naming.md,2026-03-28,GOODLIFE-UNION,ACTIVE,2,,GOODLIFE-UNION.md,,,LEX = Lived Experience — naming convention is canonical for all GLWC documentation going forward
BE-20260330-PROJECT-garden-garage-home-builds.md,,,,,,,,,
BE-20260404-PROJECT-share-your-story-post-draft.md,2026-04-04,GOODLIFE-UNION,ACTIVE,1,,GOODLIFE-UNION.md,,,Highest personal exposure GLWC document — treat with same sensitivity as Two-Hat principle
BE-20260405-TOOL-local-ai-stack-device-ecosystem.md,2026-04-05,BRAINOS-SYSTEM,CANONICAL,1,,DEVICE-ECOSYSTEM.md,,,All 5 installs confirmed in one burst session — late-night high-energy pattern confirmed here
BE-20260411-PROJECT-glwc-doclog-space-audit.md,2026-04-11,GOODLIFE-UNION,draft,1,,GOODLIFE-UNION,,,Kyle's guardians identified as strong advocates and structural protective factor against GoodLife action
BE-20260411-PROJECT-goodlife-housing-contract-risk-map.md,2026-04-11,GOODLIFE-UNION,active,1,,"GOODLIFE-UNION (primary), FINANCIAL-SNAPSHOT (secondary), BRAYDEN-IDENTITY (tertiary)",,,Highest legal stakes file in archive — image clause bridges DSP NLRA protection gap to PFT contractor exposure
BE-20260412-PROJECT-garage-audit-zone-plan.md,2026-04-12,MAKER,draft,3,,NEW FILE NEEDED — HOME-PROJECTS-LOG (this thread is a direct extension of BE-20260330-PROJECT-garden-garage-home-builds.md which already proposed this file; this entry is its primary seed),,,Sloped side walls prevent flush shelving — French cleat on back wall recommended; seed entry for HOME-PROJECTS-LOG.md
BE-20260422-BRAINOS-live-sync-vault-financial-setup.md,2026-04-22,BRAINOS-SYSTEM,ACTIVE,1,,BRAINOS-SYSTEM.md,,,Supersedes vault structure decisions from BE-20260405
BE-20260423-BRAINOS-fullstack-sync-n8n-install.md,2026-04-23,BRAINOS-SYSTEM,ACTIVE,1,,BRAINOS-SYSTEM.md,,,n8n installed but zero workflows built; do not treat as active infrastructure yet
BE-20260423-BRAINOS-git-gdrive-sync-completed.md,2026-04-23,BRAINOS-SYSTEM,ACTIVE,1,,BRAINOS-SYSTEM.md,,,Continues from BE-20260422; Syncthing laptop↔desktop deprioritized — Git + Drive cover cross-device sync
BE-20260424-BRAINOS-full-build-session.md,2026-04-24,BRAINOS-SYSTEM,ACTIVE,1,,DEVICE-ECOSYSTEM.md,,,Master session log for Apr 23-24
BE-20260424-BRAINOS-master-index-audit-redesign.md,2026-04-24,BRAINOS-SYSTEM,ACTIVE,1,,BRAINOS-SYSTEM.md,,,This file defines the schema all Batch 1-7 rows follow
BE-20260425-BRAINOS-architecture-sync-fixes.md,2026-04-25,BRAINOS-SYSTEM,ACTIVE,1,,BRAINOS-SYSTEM.md,,,Predates this compilation session by hours — seed data drafted here was the 13-row precursor to today's full 48-row migration
BE-20260425-BRAINOS-master-index-migration-complete.md,2026-04-25,BRAINOS-SYSTEM,ACTIVE,,,BRAINOS-SYSTEM.md,,,
BE-20260425-BRAINOS-open-questions-automation-quiz-build.md,2026-04-25,BRAINOS,active,,,"BRAINOS-SYSTEM.md (primary), ACTIVE-PROJECTS.md (secondary)",,,
BE-20260425-BRAINOS-triage-shiftmind-founding.md,2026-04-25,BRAINOS-SYSTEM,ACTIVE,1,,ACTIVE-PROJECTS.md,,,Most recent thread in archive — this compilation session IS the action item
BE-20260427-BRAINOS-canonical-compilation-business-architecture.md.md,2026-04-27,BRAINOS,ACTIVE,,,BRAINOS-SYSTEM.md,,,
BE-20260427-BRAINOS-repo-audit-canonical-compilation.md,2026-04-27,BRAINOS,COMPILED,,,BRAINOS-SYSTEM.md,,,
BE-20260427-BRAINOS-vault-audit-health-backfill-dedup.md,2026-04-27,BRAINOS,active,,,BRAINOS-SYSTEM.md,,,
BE-20260430-BRAINOS-csv-push-failure-index-automation.md,2026-04-30,BRAINOS-SYSTEM,ACTIVE,,,BRAINOS-SYSTEM.md,,,
BEUNASSIGNED_20260221_SKILL_peaslee-tech-career-path-eval.md,2026-02-21,SKILLS-EDUCATION,ACTIVE,2,,BRAYDEN-IDENTITY.md,,,Superseded in enrollment specifics by Brain_Entry_005; consistent with Entry 007 Track 5; peer referral (Charlie) came later — this was catalog-led research
